pl_name,pl_hab,pl_orbper,pl_rade,pl_masse,pl_eqt,st_teff,sy_dist
GJ 143 b,0,35.61253,2.61,22.7,422,4640,16.32
GJ 15 A b,0,11.4433,,,550,3567,3.56228
GJ 15 A c,0,7600,,,,3607,3.56228
GJ 160.2 b,0,5.2354,,,,4347,25.8557
GJ 163 b,0,8.63182,,,,,15.1285
GJ 163 d,0,603.95116,,,,,15.1285
GJ 179 b,0,2303,,301.9369867,,3370,12.356
GJ 180 b,0,17.38,,,,3371,11.9407
GJ 2030 b,0,2.38129,,,,,37.0788
GJ 2030 c,0,25533.11353,,4069.157095,,,37.0788
GJ 2056 b,0,69.971,,,,,28.4434
GJ 2126 b,0,272.7,,,,4159,38.129
GJ 229 b,0,471,,,,3564,5.75624
GJ 238 b,0,1.7446999,0.566,,758,3485,15.2142
GJ 251 b,0,14.238,,,351,3451,5.58057
GJ 27.1 b,0,15.819,,,,3542,23.6062
GJ 273 c,0,4.7234,,,,3382,5.921535
GJ 3021 b,0,133.71,,,350,5540,17.5559
GJ 3082 b,0,11.949,,,,,16.6186
GJ 3090 b,0,2.8531054,2.13,3.34,693,3556,22.4751
GJ 3138 b,0,1.22003,,,,3717,28.4712
GJ 3138 c,0,5.974,,,,3717,28.4712
GJ 3138 d,0,257.8,,,,3717,28.4712
GJ 317 b,0,692,,794.5,,3510,15.1968
GJ 317 c,0,6500,,,,3496,15.1968
GJ 3222 b,0,10.66669,,,,,18.23817
GJ 328 b,0,3771,,,,3897,20.5266
GJ 328 c,0,241.8,,,,3897,20.5266
GJ 3293 b,0,30.5987,,,,3466,20.1903
GJ 3293 c,0,122.6196,,,,3466,20.1903
GJ 3293 e,0,13.2543,,,,3466,20.1903
GJ 3323 b,0,5.3636,,,,3159,5.37484
GJ 3323 c,0,40.54,,,,3159,5.37484
GJ 3341 b,0,14.207,,,,3526,23.619
GJ 338 B b,0,24.45,,,391,4005,6.33256
GJ 341 b,0,7.57686,0.88,4,,3770,10.454
GJ 3470 b,0,3.3366496,4.57,13.9,593.5,3600,29.4214
GJ 3473 b,0,1.1980035,1.264,1.86,773,3347,27.3644
GJ 3473 c,0,15.509,,,329.1,3347,27.3644
GJ 3512 b,0,203.69,,,,3081,9.48637
GJ 3512 c,0,1599.6,,,,3081,9.48637
GJ 357 b,0,3.93072,1.217,1.84,525,3505,9.44181
GJ 357 c,0,9.1247,,,401.2,3505,9.44181
GJ 3634 b,0,2.64561,,8.4,,,20.3779
GJ 367 b,0,0.321962,0.718,0.546,1745,3522,9.41263
GJ 367 c,0,11.5301,,,,3522,9.41263
GJ 3779 b,0,3.0232,,,,3324,13.743
GJ 3929 b,0,2.616235,1.09,1.75,568,3384,15.8095
GJ 3929 c,0,15.04,,,317,3384,15.8095
GJ 393 b,0,7.02679,,,485,3579,7.03149
GJ 3942 b,0,6.905,,,590,3867,16.9287
GJ 3988 b,0,6.9442,,,348,3273,9.9105
GJ 3998 b,0,2.64977,,,,3722,18.1459
GJ 3998 c,0,13.727,,,,3726,18.1459
GJ 3998 d,0,41.78,,,,3726,18.1459
GJ 411 b,0,12.946,,,370.1,3601,5.675773
